genspcode,gencode,spcode,lsspnum,genus,species,author,family,Synonymy_and_name_history,nativeexotic,forma,wooddens,wooddenstaxlevel,wooddenssource,,,,
ANNOSUBN,ANNO,SUBN,LS000715,Annona,subnubila,"H. Rainer, ined.",Annonaceae,Hist. Tax. Annona montana,Nativa,A,0.479,Genus,C&SAmerTrop,Aguilar 8346,G.S.Hartshorn 1133; Herb. Nac. CR,,"smallish leaves, matte with underside lighter; brown glands/domatia along mid-vein"
APEIMEMB,APEI,MEMB,LS001802,Apeiba,membranacea,Spruce ex Benth.,Malvaceae,,Nativa,A,0.278,Genus,C&SAmerTrop,Hammel & Trainer 10868,,,
APHESTOR,APHE,STOR,LS000665,Aphelandra,storkii,Leonard,Acanthaceae,,Nativa,A,,,,Grayum 3029,,,
ARDIFIMB,ARDI,FIMB,LS001448,Ardisia,fimbrillifera,Lundell,Primulaceae,Sin. Auriculardisia fimbrillifera (Lundell) Lundell,Nativa,A,0.62,Genus,SAmerTrop,Hammel 10950,,,
ARDISTAN,ARDI,STAN,LS001452,Ardisia,standleyana,P. H. Allen,Primulaceae,"Sin. Ardisia proctori Lundell, Sin. Icacorea standleyana (P.H. Allen) Lundell",Nativa,A,0.62,Genus,SAmerTrop,Aguilar 7740,,,
ASPIDESM,ASPI,DESM,LS000739,Aspidosperma,desmanthum,Benth. ex Müll. Arg.,Apocynaceae,"Sin. Aspidosperma cruentum Woodson, Hist. Tax. A. megalocarpon, A. spruceanum",Nativa,A,0.61,Species,SAmerTrop,Aguilar 7726,,,
ASTRALAT,ASTR,ALAT,LS000291,Astrocaryum,alatum,H. F. Loomis,Arecaceae,Sin. Hexopetion alatum (H. F. Loomis) F. Kahn & Pintaud,Nativa,P,0.508,Genus,SAmerTrop,Folsom 9400,,,
ASTRCONF,ASTR,CONF,LS000292,Astrocaryum,confertum,H. Wendl. ex Burret,Arecaceae,,Nativa,P,0.508,Genus,SAmerTrop,M. Grayum 8970,,,
BACTSP,BACT,SP,,Bactris,,,Arecaceae,,,P,,,,,,,no wood density in Chave compilation
BALIELEG,BALI,ELEG,LS001065,Balizia,elegans,(Ducke) Barneby & J. W. Grimes,Fabaceae,"Sin. Pithecellobium elegans Ducke; Albizia duckeana L. Rico; 
Hist. Tax. P. pedicellare",Nativa,A,0.495,Species,LaSelva-MullerLand,Hammel 12412,B. Hammel 17319; Herb. Nac. CR,3,
BAUHGUIA,BAUH,GUIA,LS001050,Bauhinia,guianensis,Aubl.,Fabaceae,Sin. Bauhinia manca Standl.,Nativa,L,0.7,Genus,FrGuyana-Hoffmann et al,Hammel 9172,,,
BAUHSP,BAUH,SP,,Bauhinia,,,Fabaceae,,Nativa,L,0.7,Genus,FrGuyana-Hoffmann et al,,,,
BEILALLO,BEIL,ALLO,LS001218,Beilschmiedia,alloiophylla,(Rusby) Kosterm.,Lauraceae,Hist. Tax. Beilschmiedia anay,Nativa,A,0.544,Genus,C&SAmerTrop,,,,"1 stem, Clark1046, id'd by OV/JG June13"
BEILSP.1,BEIL,SP.1,,Beilschmiedia,,,Lauraceae,"BEH  ok'd our grouping (MV#s:660,899,850,226), but said it has another name now",,A,0.544,Genus,C&SAmerTrop,,,,not anay (but we did hit on what he had been calling anay)
BEILSP.2,BEIL,SP.2,,Beilschmiedia,,,Lauraceae,MV 630 and 659;may be B. mexicana (BEH),,A,0.544,Genus,C&SAmerTrop,,,,
BEILSP.3,BEIL,SP.3,,Beilschmiedia,,,Lauraceae,"MV#595; BEH says  closest to Beil. No.1, but lf pubescent- maybe juv.",,,0.544,Genus,C&SAmerTrop,,,,it also looked almost like a spec. they have of B. sulcata; may be 3rd LS sp (BEH)
BEILSP.A,BEIL,SP.A,LS002467,Beilschmiedia,sp. A,?,Lauraceae,"Hist. Tax. Beilschmiedia anay, B. sulcata",nativa,A,0.544,Genus,C&SAmerTrop,Hammel 13354,,,id'd by JG/OV June13
BESLCOLU,BESL,COLU,LS001169,Besleria,columneoides,Hanst.,Gesneriaceae,,Nativa,A,,,,Aguilar 7718,,,
BOROPANA,BORO,PANA,LS001599,Borojoa,panamensis,Dwyer,Rubiaceae,Sin. Borojoa atlantica Dwyer,Nativa,A,0.52,Genus,SAmerTrop,O. Vargas  1359,,,
BOROPATI,BORO,PATI,LS002465,Borojoa,patinoi,Cuatrec.,Rubiaceae,,Nativa de CR Plantada en LS,A,0.52,Genus,SAmerTrop,O. Vargas 1671,,,***DF says planted at LS; 1 stem
BROSGUIA,BROS,GUIA,LS001408,Brosimum,guianense,(Aubl.) Huber,Moraceae,,Nativa,A,0.843,Species,SAmerTrop,Hammel 13071,,,
BROSLACT,BROS,LACT,LS001409,Brosimum,lactescens,(S. Moore) C. C. Berg,Moraceae,,Nativa,A,0.656,Species,SAmerTrop,B.Hammel & J.Trainer 13256,,,
BYRSARTH,BYRS,ARTH,LS001275,Byrsonima,arthropoda,A. Juss.,Malpighiaceae,Hist. Tax. Byrsonima crispa,Nativa,A,0.62,Species,SAmerTrop,B. Hammel 12986,,,
CALOBRAS,CALO,BRAS,LS000918,Calophyllum,brasiliense,Cambess.,Calophyllaceae,Sin. Calophyllum rekoi Standl.,Nativa,A,0.47,Species,CostaRica-Malavass,Aguilar 7942,,,
CARANICA,CARA,NICA,LS001381,Carapa,nicaraguensis,Audl.,Meliaceae,Hist. Tax. Carapa  guianensis,Nativa,A,0.415,Species,"CentAmerTrop,LS-MullerLandau",Hartshorn 1274,,,
CARPPLAT,CARP,PLAT,LS001152,Carpotroche,platyptera,Pittier,Achariaceae,"Sin. Carpotroche crassiramea Pittier, Sin. Carpotroche glaucescens Pittier",Nativa,A,0.45,Genus,South America (tropical),Aguilar 8422,,,
CARYANGU,CARY,ANGU,LS001011,Caryodendron,angustifolium,Standl.,Euphorbiaceae,"confirmed by BEH;gave him 3 spec.s, for Inbio, Herb.Nac.,and maybe MoBot",Nativa,A,0.65,Genus,South America (tropical),Aguilar 8247,,,"New genus & sp for LS, from MV"
CASE-99,CASE,-99,,Casearia,,,Salicaceae,,,A,,,,,,,1 stem
CASEARBO,CASE,ARBO,LS001153,Casearia,arborea,(Rich.) Urb.,Salicaceae,,Nativa,A,0.57,Species,LaSelva-King,Hammel 9315,B.Hammel&J.Trainer 12766; Herb. Nac. CR,,
CASECOMM,CASE,COMM,LS001154,Casearia,commersoniana,Cambess.,Salicaceae,,Nativa,A,0.582,Genus,C&SAmerTrop,Hammel 8194,G.S. Hartshorn 1360; Herb. Nac. CR,,
CASETACA,CASE,TACA,LS001158,Casearia,tacanensis,Lundell,Salicaceae,,native,A,0.582,C&SAmerTrop,Genus,,,,
CASSELLI,CASS,ELLI,LS001596,Cassipourea,elliptica,(Sw.) Poir.,Rhizophoraceae,,Nativa,A,0.82,Genus,SAmerTrop,Hammel 9094,,,
